FlexLM Feature Code,Description
86125IDSU_2014_0F,Autodesk Infrastructure Design Suite Ultimate 2014
86126UTLDESN_2014_0F,Autodesk AutoCAD Utility Design 2014
86127INVLTS_2014_0F,AutoCAD Inventor LT Suite 2014
86128FDSPRM_2014_0F,Autodesk Factory Design Suite Premium 2014
86129FDSS_2014_0F,Autodesk Factory Design Suite Standard 2014
86130FDSADV_2014_0F,Autodesk Factory Design Suite Ultimate 2014
86131PDSP_2014_0F,Autodesk Product Design Suite Premium 2014
86132PDSS_2014_0F,Autodesk Product Design Suite Standard 2014
86133PDSU_2014_0F,Autodesk Product Design Suite Ultimate 2014
86135INVETO_2014_0F,Autodesk Inventor Engineer-to-Order Series 2014
86136INTSER_2014_0F,Autodesk Inventor Engineer-to-Order Server 2014
86137ARCHDESK_2014_0F,AutoCAD Architecture 2014
86138AMECH_PP_2014_0F,AutoCAD Mechanical 2014
86139BLDSYS_2014_0F,AutoCAD MEP 2014
86140ARDES_2014_0F,AutoCAD Raster Design 2014
86141SCFD_2014_0F,Autodesk Simulation CFD 2014
86142SCFDA_2014_0F,Autodesk Simulation CFD 2014 Advanced
86144SCFDNX_2014_0F,Autodesk Simulation CFD 2014 Connection for NX
86145SCFDP_2014_0F,Autodesk Simulation CFD 2014 Connection for Parasolid
86146SCPROE_2014_0F,Autodesk Simulation CFD 2014 Connection for Pro/E
86147SCDSE_2014_0F,Autodesk Simulation CFD 2014 Design Study Environment
86148SCFDM_2014_0F,Autodesk Simulation CFD 2014 Motion
86149ECSCAD_2014_0F,AutoCAD ecscad 2014
86150ACAD_E_2014_0F,AutoCAD Electrical 2014
86151SIMDFM_2014_0F,Autodesk Simulation DFM 2014
86152MFAA_2014_0F,Autodesk Simulation Moldflow Adviser Ultimate 2014
86153MFAM_2014_0F,Autodesk Simulation Moldflow Adviser Premium 2014
86154MFAD_2014_0F,Autodesk Simulation Moldflow Adviser Standard 2014
86155MFIP_2014_0F,Autodesk Simulation Moldflow Insight Premium 2014
86156MFIA_2014_0F,Autodesk Simulation Moldflow Insight Ultimate 2014
86157MFIB_2014_0F,Autodesk Simulation Moldflow Insight Standard 2014
86158MFS_2014_0F,Autodesk Simulation Moldflow Synergy 2014
86159INVNTOR_2014_0F,Autodesk Inventor 2014
86161INVLT_2014_0F,Autodesk Inventor LT 2014
86163INVPROSA_2014_0F,Autodesk Inventor Professional 2014
86166NAVMAN_2014_0F,Autodesk Navisworks Manage 2014
86167VLTC_2014_0F,Autodesk Vault Collaboration 2014
86168VTCAEC_2014_0F,Autodesk Vault Collaboration AEC 2014
86169PCOFFI_2014_0F,Autodesk Vault Office 2014
86170VLTM_2014_0F,Autodesk Vault Professional 2014
86171VLTWG_2014_0F,Autodesk Vault Workgroup 2014
86172NAVSIM_2014_0F,Autodesk Navisworks Simulate 2014
86173CIV3D_2014_0F,AutoCAD Civil 3D 2014
86174MAP_2014_0F,AutoCAD Map 3D 2014
86175INFMDR_2014_0F,Autodesk InfraWorks 2014
86176IMS_2014_0F,Autodesk Infrastructure Map Server 2014
86178CAMDCT_2014_0F,Autodesk Fabrication CAMduct 2014
86180INVPUB_2014_0F,Autodesk Inventor Publisher 2014
86181CAMLTE_2014_0F,Autodesk Fabrication CAMduct Components 2014
86184CADMEP_2014_0F,Autodesk Fabrication CADmep 2014
86185ESTMEP_2014_0F,Autodesk Fabrication ESTmep 2014
86187RMNTRY_2014_0F,Autodesk Fabrication RemoteEntry 2014
86189TRCKIT_2014_0F,Autodesk Fabrication Tracker 2014
86191T1MF_2014_0F,T1 Enterprise Multi-flex 2014
86193T1MFPV_2014_0F,T1 Enterprise Multi-flex Prior Version 2014
86197IMRH_2014_0F,Autodesk InfraWorks Roads & Highways 2014
86198FDU_2014_0F,Autodesk Factory Design Utilities 2014
86200SMKMAC_2014_0F,Autodesk Smoke 2014 for Mac OS X
86200SMKMACBRN_2014_0F,Autodesk Smoke 2014 for Mac OS X Burn
86200SMKMACWG_2014_0F,Autodesk Smoke Wiretap Gateway 2014
86201INVPUB_2013_1F,Autodesk Inventor Publisher 2013 R1
86202INVPUB_F,Autodesk Inventor Publisher Package
86207VRDDES_2014_0F,Autodesk VRED Design 2014
86208VRDPRO_2014_0F,Autodesk VRED Professional 2014
86213MAYA_2015_0F,Autodesk Maya 2015
86213MAYAMMR1_2015_0F,Autodesk Maya 2015 Mental Ray 1
86214TRTLPB_2015_0F,Turtle for Maya 2015
86221AUTOST_2015_0F,Autodesk Alias Automotive 2015
86222DESNST_2015_0F,Autodesk Alias Design 2015
86223SURFST_2015_0F,Autodesk Alias Surface 2015
86227DSPRM_2015_0F,Autodesk AutoCAD Design Suite Premium 2015
86228DSSTD_2015_0F,Autodesk AutoCAD Design Suite Standard 2015
86229DSADV_2015_0F,Autodesk AutoCAD Design Suite Ultimate 2015
86232ACDLTC_2015_0F,Autodesk AutoCAD LT Civil Suite 2015
86233INVLTS_2015_0F,Autodesk AutoCAD Inventor LT Suite 2015
86234REVITS_2015_0F,Autodesk AutoCAD Revit Architecture Suite 2015
86235RVTLTS_2015_0F,Autodesk AutoCAD Revit LT Suite 2015
86236REVSYP_2015_0F,Autodesk AutoCAD Revit MEP Suite 2015
86237REVSU_2015_0F,Autodesk AutoCAD Revit Structure Suite 2015
86238BDSPRM_2015_0F,Autodesk Building Design Suite Premium 2015
86241MXECSP_2015_0F,Autodesk 3ds Max Entertainment Creation Suite Premium 2015
86242MXECS_2015_0F,Autodesk 3ds Max Entertainment Creation Suite Standard 2015
86243ENCSU_2015_0F,Autodesk Entertainment Creation Suite Ultimate 2015
86244BDSS_2015_0F,Autodesk Building Design Suite Standard 2015
86245BDSADV_2015_0F,Autodesk Building Design Suite Ultimate 2015
86247EMS_2015_0F,Autodesk Education Master Suite 2015
86248ESEC_2015_0F,Autodesk Entertainment Creation Suite For Education 2015
86249FDSPRM_2015_0F,Autodesk Factory Design Suite Premium 2015
86250FDSS_2015_0F,Autodesk Factory Design Suite Standard 2015
86251FDSADV_2015_0F,Autodesk Factory Design Suite Ultimate 2015
86252IDSP_2015_0F,Autodesk Infrastructure Design Suite Premium 2015
86253IDSS_2015_0F,Autodesk Infrastructure Design Suite Standard 2015
86254IDSU_2015_0F,Autodesk Infrastructure Design Suite Ultimate 2015
86255INVETO_2015_0F,Autodesk Inventor Engineer-to-Order Series 2015
86257MYECS_2015_0F,Autodesk Maya Entertainment Creation Suite Standard 2015
86258PDSPRM_2015_0F,Autodesk Plant Design Suite Premium 2015
86259PLTDSS_2015_0F,Autodesk Plant Design Suite Standard 2015
86260PDSADV_2015_0F,Autodesk Plant Design Suite Ultimate 2015
86261ESME_2015_0F,Autodesk Product Design Suite for Education 2015
862623DSMAX_2015_0F,Autodesk 3ds Max 2015
86263MAXDES_2015_0F,Autodesk 3ds Max Design 2015
86264MOBPRO_2015_0F,Autodesk MotionBuilder 2015
86265MBXPRO_2015_0F,Autodesk Mudbox 2015
86266PDSP_2015_0F,Autodesk Product Design Suite Premium 2015
86267PDSS_2015_0F,Autodesk Product Design Suite Standard 2015
86268PDSU_2015_0F,Autodesk Product Design Suite Ultimate 2015
86269SFTIM_2015_0F,Autodesk Softimage 2015
86269SFTIMSIB_2015_0F,Autodesk Softimage 2015 SIBatch
86270SIECS_2015_0F,Autodesk Softimage Entertainment Creation Suite Standard 2015
86271MRSTND_2015_0F,mental ray Standalone 2015
86273RVT_2015_0F,Autodesk Revit 2015
86274REVIT_2015_0F,Autodesk Revit Architecture 2015
86275RVTLT_2015_0F,Autodesk Revit LT 2015
86276RVTMPB_2015_0F,Autodesk Revit MEP 2015
86277REVITST_2015_0F,Autodesk Revit Structure 2015
86279AMECH_PP_2015_0F,Autodesk AutoCAD Mechanical 2015
86280STRDET_2015_0F,Autodesk AutoCAD Structural Detailing 2015
86281CADMEP_2015_0F,Autodesk Fabrication CADmep 2015
86283CAMDCT_2015_0F,Autodesk Fabrication CAMduct 2015
86284CAMLTE_2015_0F,Autodesk Fabrication CAMduct Components 2015
86285ESTMEP_2015_0F,Autodesk Fabrication ESTmep 2015
86286RMNTRY_2015_0F,Autodesk Fabrication RemoteEntry 2015
86287TRCKIT_2015_0F,Autodesk Fabrication Tracker 2015
86288ARCHDESK_2015_0F,Autodesk AutoCAD Architecture 2015
86290ACAD_E_2015_0F,Autodesk AutoCAD Electrical 2015
86292BLDSYS_2015_0F,Autodesk AutoCAD MEP 2015
86293ACDLT_2015_0F,Autodesk AutoCAD LT 2015
86294ARDES_2015_0F,Autodesk AutoCAD Raster Design 2015
86295ACD_2015_0F,Autodesk AutoCAD 2015
86296PLNT3D_2015_0F,Autodesk AutoCAD Plant 3D 2015
86297RSAPRO_2015_0F,Autodesk Robot Structural Analysis Professional 2015
86298PNTLAY_2014_0F,Autodesk Point Layout 2014
86301PNID_2015_0F,Autodesk AutoCAD P&ID 2015
86304PCOFFI_2015_0F,Autodesk Vault Office 2015
86305VLTM_2015_0F,Autodesk Vault Professional 2015
86306VLTWG_2015_0F,Autodesk Vault Workgroup 2015
86314INVNTOR_2015_0F,Autodesk Inventor 2015
86315INTSER_2015_0F,Autodesk Inventor Engineer-to-Order Server 2015
86316INVLT_2015_0F,Autodesk Inventor LT 2015
86317INVOEM_2015_0F,Autodesk Inventor OEM 2015
86318INVPROSA_2015_0F,Autodesk Inventor Professional 2015
86319SIMDFM_2015_0F,Autodesk Simulation DFM 2015
86320MFAM_2015_0F,Autodesk Simulation Moldflow Adviser Premium 2015
86321MFAD_2015_0F,Autodesk Simulation Moldflow Adviser Standard 2015
86322MFAA_2015_0F,Autodesk Simulation Moldflow Adviser Ultimate 2015
86323MFIP_2015_0F,Autodesk Simulation Moldflow Insight Premium 2015
86324MFIB_2015_0F,Autodesk Simulation Moldflow Insight Standard 2015
86325MFIA_2015_0F,Autodesk Simulation Moldflow Insight Ultimate 2015
86326MFS_2015_0F,Autodesk Simulation Moldflow Synergy 2015
86327MFCD_2015_0F,CADdoctor for Autodesk Simulation 2015
86328SBRDES_2014_0F,Autodesk Structural Bridge Design 2014
86328SBRDES_2016_0F,Autodesk Structural Bridge Design 2016
86333VEHTRK_2014_0F,Autodesk Vehicle Tracking 2014
86335FDU_2015_0F,Autodesk Factory Design Utilities 2015
86336SCFD_2015_0F,Autodesk Simulation CFD 2015
86337SCFDA_2015_0F,Autodesk Simulation CFD 2015 Advanced
86338SCACIS_2015_0F,Autodesk Simulation CFD 2015 Connection for ACIS
86339SCFDNX_2015_0F,Autodesk Simulation CFD 2015 Connection for NX
86340SCFDP_2015_0F,Autodesk Simulation CFD 2015 Connection for Parasolid
86341SCPROE_2015_0F,Autodesk Simulation CFD 2015 Connection for Pro/E
86342SCDSE_2015_0F,Autodesk Simulation CFD 2015 Design Study Environment
86343SCFDM_2015_0F,Autodesk Simulation CFD 2015 Motion
86344ACMPAN_2015_0F,Autodesk Simulation Composite Analysis 2015
86346ACMPDS_2015_0F,Autodesk Simulation Composite Design 2015
86348ASMES_2015_0F,Autodesk Simulation Mechanical 2015
86350NAVMAN_2015_0F,Autodesk Navisworks Manage 2015
86351NAVSIM_2015_0F,Autodesk Navisworks Simulate 2015
86352SBPNL_2015_0F,Autodesk SketchBook Pro 2015
86354CIV3D_2015_0F,Autodesk AutoCAD Civil 3D 2015
86355MAP_2015_0F,Autodesk AutoCAD Map 3D 2015
86356UTLDESN_2015_0F,Autodesk AutoCAD Utility Design 2015
86359INFMDR_2015_0F,Autodesk InfraWorks 2015
86366VRDPRS_2015_0F,Autodesk VRED Presenter 2015
86367VRDPRO_2015_0F,Autodesk VRED Professional 2015
86369SHOWCASE_2015_0F,Autodesk Showcase 2015
86371ALAUST_2015_0F,Autodesk Alias AutoStudio 2015
86373ADSTCP_2015_0F,Autodesk Advance Concrete 2015
86375ADSTPR_2015_0F,Autodesk Advance Steel 2015
86377SMKMAC_2015_0F,Autodesk Smoke 2015 for Mac OS X
86377SMKMACBRN_2015_0F,Autodesk Smoke 2015 for Mac OS X Burn
86377SMKMACWG_2015_0F,Autodesk Smoke Wiretap Gateway 2015
86378VRDDES_2015_0F,Autodesk VRED Design 2015
86379ADKVRD_2015_0F,Autodesk VRED 2015
86380VRDSRV_2015_0F,Autodesk VRED Server 2015
86381ASPACD_2015_0F,Autodesk Advance Steel 2015 with AutoCAD
86383DCMVRD_2015_0F,Autodesk Display Cluster Module for Autodesk VRED Design 2015
86384PNTLAY_2015_0F,Autodesk Point Layout 2015
86385PNTLAY_F,Autodesk Point Layout Bundle
86386RCMVRD_2015_0F,Autodesk Raytracing Cluster Module for Autodesk VRED 2015
86388VEHTRK_2015_0F,Autodesk Vehicle Tracking 2015
86390IW360P_2015_0F,Autodesk InfraWorks 360 2015
86392INVHSM_2015_0F,Autodesk Inventor HSM 2015
86394INHSMP_2015_0F,Autodesk Inventor HSM Pro 2015
86396IW360C_2015_0F,Autodesk InfraWorks 360 - companion 2015
863983DSMXS_2015_0F,Autodesk 3ds Max with SoftImage 2015
86400MAYAS_2015_0F,Autodesk Maya with SoftImage 2015
86402RECAP_2015_0F,Autodesk ReCap 2015
86404HSMPRM_2015_0F,Autodesk HSMWorks Premium 2015
86406HSMPRO_2015_0F,Autodesk HSMWorks Professional 2015
86408T1MF_2015_0F,T1 Enterprise Multi-flex 2015
86412T1MFPV_2015_0F,T1 Enterprise Multi-flex Prior Version 2015
86414T1MFSB_2015_0F,T1 Enterprise Multi-flex Standard Bundle 2015
86416T1MFPB_2015_0F,T1 Enterprise Multi-Flex Standard Prior Version Bundle 2015
86417EMFEB_2015_0F,Enterprise Multi-Flex Enhanced Bundle 2015
86419BRDGMD_2015_0F,Autodesk Bridge Module 2015
86421GEOMOD_2015_0F,Autodesk Geotechnical Module 2015
86423RFAMOD_2015_0F,Autodesk River and Flood Analysis Module 2015
86427ALAUST_2016_0F,Autodesk Alias AutoStudio 2016
86428DESNST_2016_0F,Autodesk Alias Design 2016
86429SURFST_2016_0F,Autodesk Alias Surface 2016
86430ATCIGM_2016_0F,Autodesk Alias TC Integrator for GM 2016
86432DSADV_2016_0F,Autodesk AutoCAD Design Suite Ultimate 2016
86435ENCSU_2016_0F,Autodesk Entertainment Creation Suite Ultimate 2016
86436GMCADC_2016_0F,Autodesk GM CAD Convertors 2016
86437MAYA_2016_0F,Autodesk Maya 2016
86437MAYAMMR1_2016_0F,Autodesk Maya 2016 Mental Ray 1
86438MYECS_2016_0F,Autodesk Maya Entertainment Creation Suite Standard 2016
86439RSAPRO_2016_0F,Autodesk Robot Structural Analysis Professional 2016
86440SBPNL_2016_0F,Autodesk SketchBook Pro 2016
86441MAYAS_2016_0F,Autodesk Maya with SoftImage 2016
86442IDSU_2016_0F,Autodesk Infrastructure Design Suite Ultimate 2016
86443BDSADV_2016_0F,Autodesk Building Design Suite Ultimate 2016
86444DSPRM_2016_0F,Autodesk AutoCAD Design Suite Premium 2016
86445ACD_2016_0F,Autodesk AutoCAD 2016
86446DSSTD_2016_0F,Autodesk AutoCAD Design Suite Standard 2016
86447ACDLT_2016_0F,Autodesk AutoCAD LT 2016
86448ACLTNL_2016_0F,Autodesk AutoCAD LT 2016 Flexible License
86449RVTLTS_2016_0F,Autodesk AutoCAD Revit LT Suite 2016
86451BDSPRM_2016_0F,Autodesk Building Design Suite Premium 2016
86452BDSS_2016_0F,Autodesk Building Design Suite Standard 2016
86453RVT_2016_0F,Autodesk Revit 2016
86454REVIT_2016_0F,Autodesk Revit Architecture 2016
86455RVTLT_2016_0F,Autodesk Revit LT 2016
86456RVTMPB_2016_0F,Autodesk Revit MEP 2016
86457REVITST_2016_0F,Autodesk Revit Structure 2016
86459MRSTND_2016_0F,mental ray Standalone 2016
86460MOBPRO_2016_0F,Autodesk MotionBuilder 2016
86461MBXPRO_2016_0F,Autodesk Mudbox 2016
86462PDSU_2016_0F,Autodesk Product Design Suite Ultimate 2016
86464MXECS_2016_0F,Autodesk 3ds Max Entertainment Creation Suite Standard 2016
86465REVITS_2016_0F,Autodesk AutoCAD Revit Architecture Suite 2016
86466REVSYP_2016_0F,Autodesk AutoCAD Revit MEP Suite 2016
86467REVSU_2016_0F,Autodesk AutoCAD Revit Structure Suite 2016
86468IDSP_2016_0F,Autodesk Infrastructure Design Suite Premium 2016
86469PDSPRM_2016_0F,Autodesk Plant Design Suite Premium 2016
86470PDSADV_2016_0F,Autodesk Plant Design Suite Ultimate 2016
864713DSMAX_2016_0F,Autodesk 3ds Max 2016
864733DSMXS_2016_0F,Autodesk 3ds Max with SoftImage 2016
86474ARDES_2016_0F,Autodesk AutoCAD Raster Design 2016
86475FDSPRM_2016_0F,Autodesk Factory Design Suite Premium 2016
86476FDSADV_2016_0F,Autodesk Factory Design Suite Ultimate 2016
86477PDSP_2016_0F,Autodesk Product Design Suite Premium 2016
86478AMECH_PP_2016_0F,Autodesk AutoCAD Mechanical 2016
86479BLDSYS_2016_0F,Autodesk AutoCAD MEP 2016
86480ARCHDESK_2016_0F,Autodesk AutoCAD Architecture 2016
86481ACAD_E_2016_0F,Autodesk AutoCAD Electrical 2016
86485INVLTS_2016_0F,Autodesk AutoCAD Inventor LT Suite 2016
86487INTSER_2016_0F,Autodesk Inventor Engineer-to-Order Server 2016
86490ADSTPR_2015_1F,Autodesk Advance Steel 2015_1
86491FDU_2016_0F,Autodesk Factory Design Utilities 2016
86492INVNTOR_2016_0F,Autodesk Inventor 2016
86493INVHSM_2016_0F,Autodesk Inventor HSM 2016
86494INHSMP_2016_0F,Autodesk Inventor HSM Pro 2016
86495INVOEM_2016_0F,Autodesk Inventor OEM 2016
86496INVLT_2016_0F,Autodesk Inventor LT 2016
86497INVPROSA_2016_0F,Autodesk Inventor Professional 2016
86502FDSS_2016_0F,Autodesk Factory Design Suite Standard 2016
86503INVETO_2016_0F,Autodesk Inventor Engineer-to-Order Series 2016
86506ASPACD_2016_0F,Autodesk Advance Steel 2016 with AutoCAD
86507ADSTPR_2016_0F,Autodesk Advance Steel 2016
86508IDSS_2016_0F,Autodesk Infrastructure Design Suite Standard 2016
86509PLTDSS_2016_0F,Autodesk Plant Design Suite Standard 2016
86511ACDMAC_2016_0F,Autodesk AutoCAD 2016 for Mac
86512ACDLTM_2016_0F,Autodesk AutoCAD LT 2016 for Mac
86513ACDLTC_2016_0F,Autodesk AutoCAD LT Civil Suite 2016
86514CIV3D_2016_0F,Autodesk AutoCAD Civil 3D 2016
86515ADSTCP_2016_0F,Autodesk Advance Concrete 2016
86515MFCD_2016_0F,CADdoctor for Autodesk Simulation 2016
86516ADKVRD_2016_0F,Autodesk VRED 2016
86517MAP_2016_0F,Autodesk AutoCAD Map 3D 2016
86517PLNT3D_2016_0F,Autodesk AutoCAD Plant 3D 2016
86517PNID_2016_0F,Autodesk AutoCAD P&ID 2016
86517UTLDESN_2016_0F,Autodesk AutoCAD Utility Design 2016
86518DCMVRD_2016_0F,Autodesk Display Cluster Module for Autodesk VRED Design 2016
86519CADMEP_2016_0F,Autodesk Fabrication CADmep 2016
86520CAMDCT_2016_0F,Autodesk Fabrication CAMduct 2016
86521CAMLTE_2016_0F,Autodesk Fabrication CAMduct Components 2016
86522ESTMEP_2016_0F,Autodesk Fabrication ESTmep 2016
86523RMNTRY_2016_0F,Autodesk Fabrication RemoteEntry 2016
86524TRCKIT_2016_0F,Autodesk Fabrication Tracker 2016
86525HSMPRM_2016_0F,Autodesk HSMWorks Premium 2016
86526HSMPRO_2016_0F,Autodesk HSMWorks Professional 2016
86529INFMDR_2016_0F,Autodesk InfraWorks 2016
86530IW360C_2016_0F,Autodesk InfraWorks 360 - companion 2016
86531IW360P_2016_0F,Autodesk InfraWorks 360 2016
86532IMRH_2016_0F,Autodesk InfraWorks bundle – Roads & Highways 2016
86533INVPUB_2016_0F,Autodesk Inventor Publisher 2016
86534NAVMAN_2016_0F,Autodesk Navisworks Manage 2016
86535PNTLAY_2016_0F,Autodesk Point Layout 2016
86537RCMVRD_2016_0F,Autodesk Raytracing Cluster Module for Autodesk VRED 2016
86538RECAP_2016_0F,Autodesk ReCap 2016
86540SCFD_2016_0F,Autodesk CFD 2016
86541SCFDA_2016_0F,Autodesk CFD 2016 Advanced
86542SCACIS_2016_0F,Autodesk Simulation CFD 2016 Connection for ACIS
86543SCFDNX_2016_0F,Autodesk CFD 2016 Connection for NX
86544SCFDP_2016_0F,Autodesk CFD 2016 Connection for Parasolid
86545SCPROE_2016_0F,Autodesk CFD 2016 Connection for Pro ENGINEER
86546SCDSE_2016_0F,Autodesk CFD 2016 Design Study Environment
86547SCFDM_2016_0F,Autodesk CFD 2016 Motion
86548ACMPAN_2016_0F,Autodesk Helius PFA 2016
86549ACMPDS_2016_0F,Autodesk Helius Composite 2016
86550SIMDFM_2016_0F,Autodesk Moldflow Design 2016
86551ASMES_2016_0F,Autodesk Simulation Mechanical 2016
86552MFAM_2016_0F,Autodesk Moldflow Adviser Premium 2016
86553NAVSIM_2016_0F,Autodesk Navisworks Simulate 2016
86554MFAD_2016_0F,Autodesk Moldflow Adviser Standard 2016
86555MFIP_2016_0F,Autodesk Moldflow Insight Premium 2016
86556MFIB_2016_0F,Autodesk Moldflow Insight Standard 2016
86557MFIA_2016_0F,Autodesk Moldflow Insight Ultimate 2016
86558MFS_2016_0F,Autodesk Moldflow Synergy 2016
86561TSPRHN_2016_0F,Autodesk T-Splines Plug-in for Rhino 2016
86562PCOFFI_2016_0F,Autodesk Vault Office 2016
86563VLTM_2016_0F,Autodesk Vault Professional 2016
86564VLTWG_2016_0F,Autodesk Vault Workgroup 2016
86565VEHTRK_2016_0F,Autodesk Vehicle Tracking 2016
86566VRDDES_2016_0F,Autodesk VRED Design 2016
86567VRDPRS_2016_0F,Autodesk VRED Presenter 2016
86568VRDPRO_2016_0F,Autodesk VRED Professional 2016
86569EMFEB_2016_0F,Enterprise Multi-Flex Enhanced Bundle 2016
86571T1MF_2016_0F,T1 Enterprise Multi-flex 2016
86572VRDSRV_2016_0F,Autodesk VRED Server 2016
86573T1MFPV_2016_0F,T1 Enterprise Multi-flex Prior Version 2016
86574T1MFPB_2016_0F,T1 Enterprise Multi-Flex Standard Prior Version Bundle 2016
86575T1MFSB_2016_0F,T1 Enterprise Multi-flex Standard Bundle 2016
86576MFAA_2016_0F,Autodesk Moldflow Adviser Ultimate 2016
86579NSTRN_2016_0F,Autodesk Nastran 2016
86580NINCAD_2016_0F,Autodesk Nastran In-CAD 2016
86581ALSCPT_2016_0F,Autodesk Alias Concept 2016
86581ALSSF_2016_0F,Autodesk Alias SpeedForm 2016
86582SHOWCASE_2016_0F,Autodesk Showcase 2016
86589RETODP_2016_0F,Autodesk Revit Engineer-to-Order 2016 - Distribution Package
86593IETODIS_2016_0F,Autodesk Inventor Engineer-to-Order 2016 - Distribution
86595STUWAL_2016_0F,Autodesk Studio Wall 2016
AVEVA201,AVEVA Everything3D
AVEVA231,AVEVA Administration (admin module)
AVEVA232,AVEVA Catalogue (paragon)
CW_ACAD,CloudWorx for AutoCAD
CW_ACAD_PRO,CloudWorx for AutoCAD Pro
CW_SPR,CloudWorx for SmartPlant Review
DESIGN-PLATFORM,AVEVA DESIGN-PLATFORM
FWP,FrameWorks Plus
INB,SmartPlant Instrumentation modules
INK,SmartPlant Instrumentation (Currently Not Used)
INM,SmartPlant Instrumentation (INtools) Maintenance
INS,SmartPlant Instrumentation (INtools) Standard
INV,SmartPlant Instrumentation (INtools) View Only / API
IS,SmartMarine 3D
ISK,SmartPlant Isometrics
ISM,SmartPlant Isometrics Modules
ISO,SmartMarine 3D Outfitting
IST,SmartMarine 3D Tribon
MAT,SmartPlant Materials
PLIST,PLIST
PMD,SupportModeler for PDS
PMN,SupportManager for PDS
PWN1400,GTXRaster CAD PLUS
RD,SmartPlant Reference Data
RWN1400,GTXRaster CAD
S3D,SmartPlant 3D
SDF,SDNF Import
SEB,SmartPlant Electrical SAP Module
SEI,SmartPlant Electrical Import Manager
SEL,SmartPlant Electrical
SIM,SmartPlant 3D PDS Model and Data Translators
SLA,SmartMarine 3D Layout
SPG,SmartPlant Spoolgen
SPP,SmartPlant P&ID
SPPD,SmartPlant P&ID
SPR,SmartPlant Review
SRM,SmartPlant Review Modules
SRP,SmartPlant Review Publisher
SSK,SmartSketch
